
-62	-64	-62	-65	-75	-82	-86	1
-61	-56	-63	-77	-67	-82	-96	1
-64	-52	-59	-59	-66	-86	-87	1
-60	-54	-59	-65	-66	-83	-84	1
-61	-58	-58	-62	-66	-81	-81	1
-62	-54	-60	-61	-70	-79	-81	1
-61	-57	-59	-62	-69	-78	-83	1
-64	-57	-63	-59	-68	-82	-83	1
-63	-57	-66	-63	-68	-82	-82	1
-58	-57	-66	-61	-68	-85	-83	1
-61	-56	-67	-61	-69	-82	-87	1
-60	-56	-67	-62	-69	-82	-86	1
-61	-56	-66	-65	-71	-85	-88	1
-60	-57	-66	-64	-70	-84	-88	1
-61	-56	-64	-61	-72	-83	-86	1
-60	-57	-63	-62	-72	-85	-86	1
-62	-60	-61	-66	-69	-80	-86	1
-64	-59	-62	-63	-69	-84	-81	1
-61	-58	-60	-62	-70	-81	-85	1
-65	-61	-63	-63	-69	-82	-84	1
-68	-56	-65	-67	-76	-87	-85	1
-67	-56	-60	-66	-73	-93	-87	1
-66	-55	-64	-71	-75	-94	-83	1
-65	-57	-63	-71	-76	-87	-86	1
-64	-56	-64	-71	-75	-87	-87	1
-64	-57	-63	-71	-77	-87	-83	1
-65	-58	-65	-65	-74	-89	-85	1
-67	-65	-67	-68	-75	-87	-84	1
-70	-62	-62	-67	-69	-88	-86	1
-64	-58	-60	-67	-68	-84	-81	1
-62	-53	-57	-60	-69	-87	-86	1
-61	-56	-60	-58	-67	-79	-82	1
-65	-54	-65	-70	-74	-83	-82	1
-67	-57	-67	-68	-75	-85	-80	1
-67	-55	-68	-67	-74	-83	-83	1
-68	-57	-66	-69	-76	-81	-82	1
-67	-56	-65	-66	-75	-83	-81	1
-68	-55	-66	-68	-75	-82	-83	1
-67	-57	-64	-68	-75	-82	-82	1
-68	-55	-73	-65	-76	-82	-82	1
-68	-55	-67	-70	-76	-82	-81	1
-68	-56	-66	-69	-75	-82	-83	1
-68	-57	-67	-68	-75	-83	-83	1
-67	-56	-67	-70	-74	-81	-82	1
-69	-59	-70	-67	-75	-82	-82	1
-63	-58	-59	-65	-74	-86	-84	1
-68	-55	-63	-61	-74	-79	-85	1
-67	-57	-60	-60	-75	-83	-87	1
-68	-57	-60	-61	-73	-87	-87	1
-66	-56	-60	-63	-74	-87	-93	1
-69	-58	-56	-61	-73	-81	-93	1
-66	-57	-61	-61	-73	-81	-90	1
-66	-57	-62	-61	-74	-81	-89	1
-65	-57	-60	-64	-74	-81	-90	1
-66	-57	-60	-68	-74	-82	-88	1
-66	-57	-64	-62	-68	-87	-88	1
-63	-57	-64	-69	-75	-85	-83	1
-66	-58	-64	-63	-73	-83	-86	1
-62	-58	-62	-65	-75	-90	-81	1
-62	-59	-62	-63	-74	-86	-81	1
-66	-58	-61	-63	-73	-81	-85	1
-66	-60	-62	-62	-70	-82	-85	1
-60	-52	-59	-65	-66	-82	-80	1
-61	-59	-58	-62	-65	-78	-78	1
-60	-57	-58	-59	-70	-76	-80	1
-62	-52	-56	-63	-64	-78	-81	1
-58	-56	-51	-59	-65	-81	-84	1
-59	-57	-60	-58	-67	-80	-79	1
-59	-57	-60	-60	-63	-81	-77	1
-55	-53	-57	-67	-64	-80	-78	1
-57	-53	-54	-61	-73	-86	-81	1
-62	-52	-59	-62	-64	-80	-81	1
-61	-55	-56	-66	-73	-79	-80	1
-62	-55	-64	-61	-60	-81	-77	1
-60	-51	-61	-63	-64	-86	-81	1
-60	-59	-55	-66	-66	-82	-86	1
-61	-54	-60	-60	-64	-79	-81	1
-59	-52	-58	-65	-66	-82	-80	1
-64	-52	-57	-61	-66	-82	-81	1
-64	-50	-55	-63	-66	-78	-82	1
-61	-53	-52	-60	-72	-75	-81	1
-61	-52	-58	-59	-70	-76	-79	1
-62	-53	-55	-60	-68	-76	-79	1
-62	-51	-54	-60	-74	-74	-82	1
-61	-57	-58	-62	-67	-78	-76	1
-59	-50	-56	-59	-62	-78	-79	1
-59	-49	-57	-58	-65	-76	-79	1
-42	-53	-62	-38	-66	-65	-69	2
-44	-55	-61	-41	-66	-72	-68	2
-41	-58	-56	-40	-73	-69	-73	2
-40	-55	-56	-41	-70	-74	-73	2
-38	-55	-53	-37	-72	-71	-73	2
-38	-54	-56	-45	-56	-72	-68	2
-38	-52	-54	-38	-64	-73	-77	2
-37	-59	-57	-38	-69	-68	-73	2
-37	-61	-61	-37	-71	-68	-73	2
-37	-56	-56	-38	-68	-70	-66	2
-37	-59	-57	-43	-73	-65	-66	2
-39	-54	-61	-43	-75	-64	-74	2
-42	-57	-61	-43	-73	-67	-66	2
-40	-56	-58	-42	-67	-62	-71	2
-41	-56	-54	-41	-76	-65	-68	2
-43	-55	-55	-39	-69	-67	-71	2
-40	-70	-47	-43	-69	-73	-84	2
-40	-57	-47	-42	-69	-73	-70	2
-38	-52	-50	-41	-69	-68	-72	2
-37	-54	-53	-36	-65	-76	-72	2
-36	-54	-54	-37	-66	-75	-71	2
-36	-58	-54	-27	-67	-73	-78	2
-36	-54	-52	-20	-66	-70	-74	2
-37	-57	-51	-39	-70	-76	-72	2
-35	-51	-53	-37	-63	-72	-76	2
-38	-51	-53	-38	-63	-72	-73	2
-37	-54	-55	-37	-67	-71	-70	2
-36	-52	-55	-36	-69	-64	-70	2
-37	-54	-47	-36	-63	-70	-70	2
-46	-52	-46	-39	-74	-71	-78	2
-44	-50	-57	-45	-61	-72	-67	2
-40	-52	-53	-39	-61	-75	-73	2
-43	-55	-50	-39	-61	-69	-73	2
-43	-55	-52	-42	-60	-74	-67	2
-43	-54	-55	-41	-68	-71	-74	2
-43	-47	-50	-45	-65	-66	-69	2
-37	-46	-51	-39	-63	-69	-69	2
-36	-55	-51	-37	-75	-71	-70	2
-38	-59	-61	-36	-68	-69	-73	2
-36	-55	-58	-37	-76	-72	-69	2
-37	-53	-57	-38	-71	-68	-64	2
