
-59	-57	-60	-60	-63	-81	-77	1
-55	-53	-57	-67	-64	-80	-78	1
-57	-53	-54	-61	-73	-86	-81	1
-62	-52	-59	-62	-64	-80	-81	1
-61	-55	-56	-66	-73	-79	-80	1
-59	-49	-57	-58	-65	-76	-79	1
-42	-53	-62	-38	-66	-65	-69	2
-44	-55	-61	-41	-66	-72	-68	2
-41	-58	-56	-40	-73	-69	-73	2
-40	-55	-56	-41	-70	-74	-73	2
-38	-55	-53	-37	-72	-71	-73	2
-45	-52	-59	-43	-71	-74	-79	2
-45	-57	-59	-43	-71	-74	-79	2
-45	-58	-54	-46	-69	-87	-77	2
-48	-54	-50	-49	-61	-81	-84	3
-54	-53	-54	-50	-63	-79	-77	3
-50	-56	-54	-50	-71	-79	-77	3
-49	-57	-52	-51	-60	-89	-83	3
-48	-52	-54	-47	-61	-80	-86	3
-46	-60	-54	-48	-63	-80	-83	3
-58	-56	-47	-62	-36	-85	-84	4
-61	-52	-49	-56	-46	-84	-83	4
-55	-50	-51	-61	-48	-82	-79	4
-61	-52	-43	-60	-47	-89	-85	4
-58	-59	-44	-57	-54	-82	-89	4


